#718 - Govi Altay

#owner = OIR		# The Oirads united much of Mongolia
#controller = OIR
#add_core= OIR
culture = oirats
religion = tengri_pagan_reformed
capital = "Kobdo"
trade_goods = cloth
hre = no
base_tax = 2 
base_production = 2
base_manpower = 2
is_city = no



discovered_by = chinese
#discovered_by = nomad_group


# = { revolt = { type = revolutionary_rebels size = 0 } #controller = REB } # Fighting broke out between the Mongols
# = {
	revolt = {}
	#owner = KHA
	#controller = KHA
	#add_core= KHA
#} # The Oirads are defeated & Altan Khan reunites the the area.
# # = { religion = buddhism } # State religion
# = { discovered_by = RUS }
# = { #owner = OIR #controller = OIR } # The Oirads gained independence
# = {
	#owner = ZUN
	#controller = ZUN
	#add_core= ZUN
#}
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # Outer Mongolia intergrated into Qing
# = { discovered_by = SPA }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = indian
