# - Chichas

#owner = PCJ
#controller = PCJ
#add_core= PCJ
culture = aimara



discovered_by = south_american
discovered_by = andean

religion = inti
is_city = no
capital = "Chichas"
trade_goods = salt
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1

# = {
	#owner = INC
	#controller = INC
	#add_core= INC
#}
# = {
	#discovered_by = SPA
	#owner = SPA
	#controller = SPA
	#add_core= SPA
	culture = castillian
	religion = catholic
#}# The death of Atahualpa
# = { revolt = { type = nationalist_rebels size = 2 } #controller = REB } # Bolivian War of Independence


native_size = 5
native_ferocity = 1
native_hostileness = 3
